Feature,Readable feature,Logistic coefficient,Logistic odds ratio,Random forest split importance,Gradient boosting split importance,Per-column PR-AUC decrease,Mean absolute SHAP,Split rank,Per-column permutation rank,SHAP rank,Average feature-level rank
teeth_condition_ord,Self-rated teeth condition,0.769514438106203,2.1587178081557905,0.247700123603769,0.47616753216482416,0.17796750195711483,0.5141232383956823,1,1,1,1.0
age,Age,-0.13732730942558496,0.8716848687608931,0.2574212866157235,0.15465948546400132,0.039727849218094705,0.2928949666041258,2,2,2,2.0
dental_visit_recency_ord,Dental-visit recency,0.21707018514805868,1.2424312993024496,0.12712715351306214,0.15198964899106776,0.03035002958650351,0.2890648862594832,3,3,3,3.0
income_poverty_ratio,Income-to-poverty ratio,-0.277238211237092,0.7578739415170079,0.23675813585866248,0.13446393886580607,0.020421040126721076,0.24151675658039626,4,4,4,4.0
race_non-hispanic_black,Non-Hispanic Black,0.2577342601488481,1.2939949069167833,0.027033587156106723,0.029251822023961496,0.009608231732020517,0.11673095400317852,5,5,5,5.0
sex_female,Female sex,-0.11807558583477883,0.8886288823202092,0.027756056336126298,0.008066938969306292,0.0038632302341217264,0.05330364382634457,8,7,6,7.0
race_mexican_american,Mexican American,-0.20112985728683722,0.8178062265605228,0.016084402872792208,0.010386729311907225,0.007667024806808159,0.03535965672113765,7,6,8,7.0
income_poverty_ratio_missing,Income missing,0.1523988823961816,1.1646246920821928,0.0136582731115972,0.0054654823172301395,-3.0312266442953743e-05,0.04388598274350829,10,10,7,9.0
race_other_multi,Other or multiracial,0.21334235606098584,1.2378083499024883,0.010645675330648453,0.011203784661213443,-0.0022249673587723838,0.03066216118508684,6,13,9,9.333333333333334
race_non-hispanic_asian,Non-Hispanic Asian,-0.13228400439320803,0.87609214572565,0.010441720673974503,0.005262676186246596,-0.0006288573288357598,0.024065521527861584,11,11,10,10.666666666666666
diabetes_yes,Diagnosed diabetes,-0.06395789016963407,0.9380444995938068,0.012227067162862818,0.00716791254232203,-0.0015502842565182084,0.0149544644149057,9,12,11,10.666666666666666
diabetes_borderline,Borderline diabetes,-0.20507663054981323,0.8145848919314957,0.002230529029136346,0.0036801742518376523,0.0004922116022485804,0.009883016154685086,12,8,12,10.666666666666666
race_other_hispanic,Other Hispanic,-0.07625740088278907,0.9265776739501997,0.010915988735538324,0.002233874250275924,0.0003155688144577007,0.007825834220846994,13,9,13,11.666666666666666
