Feature,Readable feature,Mean PR-AUC decrease,Permutation SD,2.5th percentile,97.5th percentile
teeth_condition_ord,Self-rated teeth condition,0.17796750195711483,0.009891636762053208,0.15524839961483075,0.19609714910762152
age,Age,0.039727849218094705,0.009056925572248839,0.021175374880080682,0.05348100661012164
dental_visit_recency_ord,Dental-visit recency,0.03035002958650351,0.008853592812954753,0.01512198040299971,0.045538485868241906
income_poverty_ratio,Income-to-poverty ratio,0.020421040126721076,0.005527942956925084,0.009549853136726467,0.02989960838537503
race_non-hispanic_black,Non-Hispanic Black,0.009608231732020517,0.0033552367826748444,0.002831874405936123,0.014914320828080745
race_mexican_american,Mexican American,0.007667024806808159,0.0026446931220260395,0.003145588411401455,0.01338913952207723
sex_female,Female sex,0.0038632302341217264,0.0022159725036369534,0.0004419189026481975,0.008359653676210341
diabetes_borderline,Borderline diabetes,0.0004922116022485804,0.0009136580711826315,-0.0015412703595704999,0.002267322709617666
race_other_hispanic,Other Hispanic,0.0003155688144577007,0.0008273948861186745,-0.001326592910242251,0.0015173540335745915
income_poverty_ratio_missing,Income missing,-3.0312266442953743e-05,0.0020329970701865505,-0.003607933275279064,0.003837420582684801
race_non-hispanic_asian,Non-Hispanic Asian,-0.0006288573288357598,0.0019524389436859988,-0.004494090468724897,0.002369573459528103
diabetes_yes,Diagnosed diabetes,-0.0015502842565182084,0.0016412227511848653,-0.004300269362996598,0.0013597789373818363
race_other_multi,Other or multiracial,-0.0022249673587723838,0.0020333032246908733,-0.005219723651629038,0.0024063431337333903
