Race/ethnicity,teeth_condition_ord,Cavity_prevalence,Participants,Cases
Mexican American,1,0.08900523560209424,191,17
Mexican American,2,0.09787234042553192,235,23
Mexican American,3,0.16985138004246284,471,80
Mexican American,4,0.2514792899408284,338,85
Mexican American,5,0.38613861386138615,101,39
Other Hispanic,1,0.0755813953488372,172,13
Other Hispanic,2,0.11255411255411256,231,26
Other Hispanic,3,0.16483516483516483,364,60
Other Hispanic,4,0.2857142857142857,217,62
Other Hispanic,5,0.4307692307692308,65,28
Non-Hispanic White,1,0.034526854219948847,782,27
Non-Hispanic White,2,0.07966457023060797,954,76
Non-Hispanic White,3,0.1460564751703992,1027,150
Non-Hispanic White,4,0.28714859437751006,498,143
Non-Hispanic White,5,0.5787401574803149,254,147
Non-Hispanic Black,1,0.08768656716417911,536,47
Non-Hispanic Black,2,0.15123456790123457,648,98
Non-Hispanic Black,3,0.22158438576349024,871,193
Non-Hispanic Black,4,0.37300177619893427,563,210
Non-Hispanic Black,5,0.5291666666666667,240,127
Non-Hispanic Asian,1,0.06437768240343347,233,15
Non-Hispanic Asian,2,0.059375,320,19
Non-Hispanic Asian,3,0.14974619289340102,394,59
Non-Hispanic Asian,4,0.2357142857142857,140,33
Non-Hispanic Asian,5,0.3888888888888889,36,14
Other or multiracial,1,0.08928571428571429,168,15
Other or multiracial,2,0.1511627906976744,172,26
Other or multiracial,3,0.15816326530612246,196,31
Other or multiracial,4,0.3942307692307692,104,41
Other or multiracial,5,0.6274509803921569,51,32
