Dimension,Group,Metric,Estimate,Lower 95%,Upper 95%,Valid resamples
Age group,1–11,Prevalence,0.1337386018237082,0.10805751400424957,0.1608086746035666,2000
Age group,1–11,PR-AUC,0.3139721824593317,0.24570468827635444,0.4185256460164774,2000
Age group,1–11,PR-AUC skill,0.20805911589164955,0.1406380259427252,0.3199295914222995,2000
Age group,1–11,ROC-AUC,0.7759469696969699,0.7263526258060313,0.8247032816680467,2000
Age group,1–11,Recall,0.7159090909090909,0.6145596590909091,0.8125,2000
Age group,1–11,Specificity,0.6491228070175439,0.6096644335327912,0.6873947538860103,2000
Age group,1–11,Precision,0.23954372623574144,0.18840044922188354,0.29503667426986885,2000
Age group,1–11,NPV,0.9367088607594937,0.9107142857142857,0.9604666462668298,2000
Age group,1–11,False-negative rate,0.2840909090909091,0.1875,0.3854403409090908,2000
Age group,1–11,False-positive rate,0.3508771929824561,0.31260524611398965,0.3903355664672087,2000
Age group,1–11,Share flagged,0.39969604863221886,0.3632120655984033,0.4392814537431745,2000
Age group,1–11,Brier score,0.10328766469379952,0.08725317631799938,0.12030084224934677,2000
Age group,1–11,Brier skill,0.10845613125027476,0.05556349909910969,0.1573675857291414,2000
Age group,1–11,Mean predicted probability,0.13325048431331205,0.12542378334416865,0.1414091098172841,2000
Age group,1–11,Calibration gap,-0.00048811751039615214,-0.025612593554209997,0.023359545482577918,2000
Age group,12–17,Prevalence,0.10204081632653061,0.06785562953995157,0.13768436011676138,2000
Age group,12–17,PR-AUC,0.3006568264553921,0.16557090549908643,0.47522024629668985,2000
Age group,12–17,PR-AUC skill,0.22118601127986848,0.08178738482838607,0.4106526688155631,2000
Age group,12–17,ROC-AUC,0.6928030303030303,0.5722491835994195,0.8017250113367861,2000
Age group,12–17,Recall,0.6333333333333333,0.4481800766283525,0.8095559845559844,2000
Age group,12–17,Specificity,0.6893939393939394,0.6325757575757576,0.7436826896823712,2000
Age group,12–17,Precision,0.18811881188118812,0.11427944862155388,0.2647208883553421,2000
Age group,12–17,NPV,0.9430051813471503,0.9096385542168675,0.9748743718592965,2000
Age group,12–17,False-negative rate,0.36666666666666664,0.19044401544401543,0.551819923371647,2000
Age group,12–17,False-positive rate,0.3106060606060606,0.25631731031762883,0.36742424242424243,2000
Age group,12–17,Share flagged,0.3435374149659864,0.2885838681232548,0.3986265712230709,2000
Age group,12–17,Brier score,0.08511028532559016,0.0622166082902567,0.10922252540771933,2000
Age group,12–17,Brier skill,0.07113729515117284,-0.03686207616058816,0.14987098859891881,2000
Age group,12–17,Mean predicted probability,0.1254141999727998,0.11586881512374475,0.1353712090598686,2000
Age group,12–17,Calibration gap,0.023373383646269175,-0.010580981576609144,0.05567527617363435,2000
Age group,18–34,Prevalence,0.23417721518987342,0.19582997311827957,0.27177666350453983,2000
Age group,18–34,PR-AUC,0.5132234305329251,0.42038159977363226,0.6140229118735292,2000
Age group,18–34,PR-AUC skill,0.36437439689423273,0.2582382832914804,0.48888728538467197,2000
Age group,18–34,ROC-AUC,0.7398927853473308,0.6837204758561901,0.7944060970511462,2000
Age group,18–34,Recall,0.8648648648648649,0.7983174848886924,0.9279297297297296,2000
Age group,18–34,Specificity,0.39944903581267216,0.3501256660299588,0.4476139654532971,2000
Age group,18–34,Precision,0.3057324840764331,0.2545958454418254,0.3569023569023569,2000
Age group,18–34,NPV,0.90625,0.8596302873748789,0.9503258011660252,2000
Age group,18–34,False-negative rate,0.13513513513513514,0.07207027027027027,0.20168251511130766,2000
Age group,18–34,False-positive rate,0.6005509641873278,0.5523860345467028,0.6498743339700411,2000
