Dimension,Group,Metric,Difference from complement,Lower 95%,Upper 95%,Interval excludes zero,Valid resamples
Age group,1–11,PR-AUC,-0.1598196868832652,-0.247740351967947,-0.049804787881293756,True,2000
Age group,1–11,ROC-AUC,0.002574478262804547,-0.053586717436578724,0.05866723596830028,False,2000
Age group,1–11,Recall,-0.125,-0.23135204170302767,-0.022249824083654054,True,2000
Age group,1–11,Specificity,0.12866969185077237,0.08100143027790013,0.17533262299903143,True,2000
Age group,1–11,Precision,-0.06456586280535448,-0.12289198411812544,-0.004341060343298669,True,2000
Age group,1–11,False-positive rate,-0.12866969185077232,-0.17533262299903143,-0.08100143027790013,True,2000
Age group,1–11,Calibration gap,0.001316915935906715,-0.028432387764305355,0.030143721730087655,False,2000
Age group,12–17,PR-AUC,-0.1581335686177286,-0.304666514233823,0.019850685996315613,False,2000
Age group,12–17,ROC-AUC,-0.08478405837224556,-0.20862856714062905,0.02941058968605956,False,2000
Age group,12–17,Recall,-0.19706314243759182,-0.38680993610016967,-0.0168895092196874,True,2000
Age group,12–17,Specificity,0.1537738866234909,0.09215247876399597,0.21442034007717545,True,2000
Age group,12–17,Precision,-0.11180163362398293,-0.19060299293577293,-0.027885324057522826,True,2000
Age group,12–17,False-positive rate,-0.15377388662349084,-0.2144203400771755,-0.0921524787639961,True,2000
Age group,12–17,Calibration gap,0.027960845334117218,-0.008977222931797412,0.06337925306748718,False,2000
Age group,18–34,PR-AUC,0.08176355476122965,-0.024693301229937185,0.19547946142141434,False,2000
Age group,18–34,ROC-AUC,-0.04351777252031663,-0.10557393267018685,0.015480380026717682,False,2000
Age group,18–34,Recall,0.06057532062894,-0.01732881392481268,0.13534964639395494,False,2000
Age group,18–34,Specificity,-0.1862970666372165,-0.24171449139653087,-0.13120280550514402,True,2000
Age group,18–34,Precision,0.018376162237352667,-0.037237197108192024,0.076317674586517,False,2000
Age group,18–34,False-positive rate,0.1862970666372164,0.13120280550514402,0.24171449139653084,True,2000
Age group,18–34,Calibration gap,-0.00048387943412300793,-0.03932372843658693,0.03724634585838234,False,2000
Age group,35–49,PR-AUC,0.134112808607875,0.02248674791574153,0.2572616915404174,True,2000
Age group,35–49,ROC-AUC,0.023119209890576364,-0.035508177414149085,0.08156882989272772,False,2000
Age group,35–49,Recall,0.12698412698412698,0.05493526502738999,0.1928876530586541,True,2000
Age group,35–49,Specificity,-0.18919475324980878,-0.2553815574918407,-0.1256198150736979,True,2000
Age group,35–49,Precision,0.07869924001814882,0.01400160166161728,0.14035927161416795,True,2000
Age group,35–49,False-positive rate,0.1891947532498089,0.12561981507369788,0.2553815574918407,True,2000
Age group,35–49,Calibration gap,-0.003977674897796213,-0.04583465621814626,0.038586837776572,False,2000
Age group,50–64,PR-AUC,0.0008269904618726787,-0.10531320603539623,0.11166171824233118,False,2000
Age group,50–64,ROC-AUC,-0.05244254409346616,-0.11444693740120725,0.01028592598256687,False,2000
Age group,50–64,Recall,-0.0033636572127513364,-0.09154814783804961,0.08572809050423066,False,2000
Age group,50–64,Specificity,-0.08890192540068681,-0.14645829945055197,-0.03271137393591938,True,2000
Age group,50–64,Precision,0.03298986205750376,-0.02918933449877689,0.09631142053675919,False,2000
Age group,50–64,False-positive rate,0.0889019254006867,0.032711373935919434,0.146458299450552,True,2000
Age group,50–64,Calibration gap,-0.03349397034620141,-0.07231698675688653,0.005377928296935827,False,2000
Age group,65+,PR-AUC,-0.07900377221547356,-0.19206502185693716,0.07130826798686633,False,2000
Age group,65+,ROC-AUC,0.04853677280904023,-0.02166859731484264,0.10891519216177883,False,2000
Age group,65+,Recall,-0.007704767324782202,-0.1306915473225405,0.1026301858557678,False,2000
Age group,65+,Specificity,0.12792803420383936,0.06896153787783386,0.18102210372788052,True,2000
Age group,65+,Precision,-0.025907762938230383,-0.09737731218939297,0.04621631257775631,False,2000
Age group,65+,False-positive rate,-0.1279280342038393,-0.18102210372788058,-0.06896153787783388,True,2000
Age group,65+,Calibration gap,0.017646936425259302,-0.015301395906325125,0.05033407990950525,False,2000
Sex,Female,PR-AUC,-0.023010875306430756,-0.11516940832810979,0.07500165619434235,False,2000
Sex,Female,ROC-AUC,0.02047110447118139,-0.023066414396653287,0.06896407861206927,False,2000
Sex,Female,Recall,-0.018076001369394024,-0.08171498043000887,0.0538760643562966,False,2000
Sex,Female,Specificity,0.07692241622175033,0.036065954163861054,0.1196209489370601,True,2000
Sex,Female,Precision,-0.0018541086350974956,-0.049770043400383705,0.047092947465055636,False,2000
Sex,Female,False-positive rate,-0.07692241622175039,-0.11962094893706016,-0.03606595416386112,True,2000
Sex,Female,Calibration gap,-1.615061952753294e-05,-0.02641592272095187,0.02813815164448522,False,2000
Sex,Male,PR-AUC,0.023010875306430756,-0.07500165619434243,0.11516940832810973,False,2000
Sex,Male,ROC-AUC,-0.02047110447118139,-0.06896407861206927,0.02306641439665322,False,2000
Sex,Male,Recall,0.018076001369394024,-0.05387606435629664,0.08171498043000881,False,2000
Sex,Male,Specificity,-0.07692241622175033,-0.1196209489370601,-0.03606595416386107,True,2000
Sex,Male,Precision,0.0018541086350974956,-0.04709294746505565,0.049770043400383684,False,2000
Sex,Male,False-positive rate,0.07692241622175039,0.03606595416386111,0.11962094893706016,True,2000
Sex,Male,Calibration gap,1.615061952753294e-05,-0.028138151644485267,0.026415922720951814,False,2000
Race/ethnicity,Mexican American,PR-AUC,-0.12940445953018204,-0.2450912625710694,0.014718895111087727,False,2000
Race/ethnicity,Mexican American,ROC-AUC,-0.07402945369434466,-0.1557761472954584,0.000859345517936303,False,2000
Race/ethnicity,Mexican American,Recall,-0.05690921228304402,-0.17711008219938332,0.05223673540859288,False,2000
Race/ethnicity,Mexican American,Specificity,-0.053096730060833486,-0.1143190285578866,0.0065887784445469695,False,2000
Race/ethnicity,Mexican American,Precision,-0.07150522657630712,-0.13810912716621548,-0.006767195784584216,True,2000
Race/ethnicity,Mexican American,False-positive rate,0.053096730060833486,-0.006588778444546924,0.11431902855788664,False,2000
Race/ethnicity,Mexican American,Calibration gap,0.032648532383619644,-0.008063717630596675,0.07259831100968504,False,2000
Race/ethnicity,Other Hispanic,PR-AUC,-0.15539972809110436,-0.27409083223570135,-0.009822929326018337,True,2000
Race/ethnicity,Other Hispanic,ROC-AUC,-0.09546105237350377,-0.18724118982682714,-0.010303482967346582,True,2000
Race/ethnicity,Other Hispanic,Recall,-0.10901757418611346,-0.2621310832025117,0.033458167380333755,False,2000
Race/ethnicity,Other Hispanic,Specificity,-0.04057532560763,-0.11217118249685379,0.03394360080592913,False,2000
Race/ethnicity,Other Hispanic,Precision,-0.07241072828985204,-0.1455965907243459,0.010243814774136894,False,2000
Race/ethnicity,Other Hispanic,False-positive rate,0.04057532560762994,-0.03394360080592918,0.11217118249685383,False,2000
Race/ethnicity,Other Hispanic,Calibration gap,0.01775130624960522,-0.0293539360237219,0.06621553717705886,False,2000
Race/ethnicity,Non-Hispanic White,PR-AUC,0.13963693290355134,0.03947181698291331,0.24020074384437687,True,2000
Race/ethnicity,Non-Hispanic White,ROC-AUC,0.1114405729351109,0.06464969307194247,0.1566354867156499,True,2000
Race/ethnicity,Non-Hispanic White,Recall,0.018120418416934347,-0.05798118654576458,0.09147342181681942,False,2000
Race/ethnicity,Non-Hispanic White,Specificity,0.1868719909613697,0.1450713830698549,0.22994649592626998,True,2000
Race/ethnicity,Non-Hispanic White,Precision,0.043327953206693415,-0.010142104646546128,0.09900390853856378,False,2000
Race/ethnicity,Non-Hispanic White,False-positive rate,-0.18687199096136958,-0.2299464959262701,-0.1450713830698549,True,2000
Race/ethnicity,Non-Hispanic White,Calibration gap,-0.0007345553103779712,-0.027766792714886183,0.026161591644335708,False,2000
Race/ethnicity,Non-Hispanic Black,PR-AUC,0.08249459324564867,-0.0171116969087437,0.17425789966770366,False,2000
Race/ethnicity,Non-Hispanic Black,ROC-AUC,-0.007190254169140542,-0.055213034667605514,0.041412762966389925,False,2000
Race/ethnicity,Non-Hispanic Black,Recall,0.1720643313505178,0.11081582613655533,0.2336888041200694,True,2000
Race/ethnicity,Non-Hispanic Black,Specificity,-0.24614839486925094,-0.2944010766132372,-0.19814921278033798,True,2000
Race/ethnicity,Non-Hispanic Black,Precision,0.06961289367789769,0.018613843849883054,0.12144494553172226,True,2000
Race/ethnicity,Non-Hispanic Black,False-positive rate,0.24614839486925094,0.19814921278033798,0.29440107661323706,True,2000
Race/ethnicity,Non-Hispanic Black,Calibration gap,-0.026183250018270626,-0.05929253503113257,0.007917590115162297,False,2000
Race/ethnicity,Non-Hispanic Asian,PR-AUC,-0.12965592778159424,-0.25504505977330866,0.012852571452788553,False,2000
Race/ethnicity,Non-Hispanic Asian,ROC-AUC,-0.16024942747101445,-0.24733194836467973,-0.06644885030401151,True,2000
Race/ethnicity,Non-Hispanic Asian,Recall,-0.38775013389162083,-0.5319635257301418,-0.2301080303088978,True,2000
Race/ethnicity,Non-Hispanic Asian,Specificity,0.16484000474310978,0.09940938679170569,0.22493040557944638,True,2000
Race/ethnicity,Non-Hispanic Asian,Precision,-0.06718832540940309,-0.15115230188397005,0.024651605623696792,False,2000
Race/ethnicity,Non-Hispanic Asian,False-positive rate,-0.16484000474310978,-0.22493040557944644,-0.0994093867917058,True,2000
Race/ethnicity,Non-Hispanic Asian,Calibration gap,-0.043822752972643514,-0.08729784615510192,-0.0015609276143623168,True,2000
Race/ethnicity,Other or multiracial,PR-AUC,-0.04036710178031966,-0.21554947175264993,0.19615239921978267,False,2000
Race/ethnicity,Other or multiracial,ROC-AUC,0.03535143172239941,-0.05764600862185782,0.1215799802237303,False,2000
Race/ethnicity,Other or multiracial,Recall,0.09523809523809523,-0.04588931197164542,0.20082952847133667,False,2000
Race/ethnicity,Other or multiracial,Specificity,-0.08063482216708023,-0.16288381157792162,0.005372139280900832,False,2000
