Dimension,Group,Development cavity cases,ROC-AUC,Frozen threshold,Frozen recall,Frozen specificity,Frozen share flagged,OOF subgroup threshold,OOF recall lower 95%,OOF floor met,Test recall at OOF threshold,Test specificity at OOF threshold,Test share flagged at OOF threshold,Matched-share threshold,Test recall at matched share,Test specificity at matched share,Matched test share flagged
Age group,1–11,363,0.7759469696969699,0.13,0.7159090909090909,0.6491228070175439,0.39969604863221886,0.095,0.8049699112204743,True,0.875,0.49473684210526314,0.5547112462006079,0.10468594449904003,0.8181818181818182,0.5333333333333333,0.513677811550152
Age group,12–17,118,0.6928030303030303,0.13,0.6333333333333333,0.6893939393939394,0.3435374149659864,0.06,0.8106688852153784,True,0.9,0.23863636363636365,0.7755102040816326,0.10057696535074767,0.7,0.5075757575757576,0.5136054421768708
Age group,18–34,449,0.7398927853473308,0.13,0.8648648648648649,0.39944903581267216,0.6624472573839663,0.17,0.8052408366096778,True,0.7747747747747747,0.5234159779614325,0.5464135021097046,0.18228460246375924,0.7297297297297297,0.5509641873278237,0.5147679324894515
Age group,35–49,385,0.7908716797605687,0.13,0.9191919191919192,0.3888888888888889,0.6937669376693767,0.175,0.8130001886440463,True,0.8888888888888888,0.5333333333333333,0.5799457994579946,0.2056559265158904,0.8686868686868687,0.6148148148148148,0.5149051490514905
Age group,50–64,376,0.7330097087378642,0.13,0.8155339805825242,0.4797687861271676,0.5879732739420935,0.14,0.8028736187094886,True,0.8058252427184466,0.523121387283237,0.5523385300668151,0.15392422354633145,0.7864077669902912,0.5664739884393064,0.5144766146993318
Age group,65+,245,0.8172374304722434,0.13,0.8113207547169812,0.661849710982659,0.40100250626566414,0.07,0.835174026501457,True,0.9622641509433962,0.37572254335260113,0.6691729323308271,0.09999411345844243,0.8867924528301887,0.5433526011560693,0.5137844611528822
Sex,Female,924,0.7865538004379105,0.13,0.808695652173913,0.591726618705036,0.47690014903129657,0.115,0.8124955127844139,True,0.8434782608695652,0.5314748201438849,0.5327868852459017,0.12004466039346472,0.8304347826086956,0.5512589928057554,0.5141579731743666
Sex,Male,1012,0.7660826959667291,0.13,0.8267716535433071,0.5148042024832856,0.5518831667947732,0.13,0.8098129657553086,True,0.8267716535433071,0.5148042024832856,0.5518831667947732,0.1427649974516273,0.8228346456692913,0.5616045845272206,0.5134511913912375
Race/ethnicity,Mexican American,244,0.7116345685031692,0.13,0.7678571428571429,0.5085324232081911,0.5358166189111748,0.105,0.8161503616086465,True,0.8035714285714286,0.4232081911262799,0.6131805157593123,0.14057743215044194,0.7678571428571429,0.5358361774744027,0.5128939828080229
Race/ethnicity,Other Hispanic,189,0.6886354851178972,0.13,0.717948717948718,0.5175879396984925,0.5210084033613446,0.11,0.8180083926441993,True,0.7692307692307693,0.4472361809045226,0.5882352941176471,0.13316229567507584,0.6923076923076923,0.5226130653266332,0.5126050420168067
Race/ethnicity,Non-Hispanic White,543,0.8475412263330311,0.13,0.8309859154929577,0.6754270696452037,0.40420819490586934,0.1,0.8085266036943676,True,0.8943661971830986,0.5597897503285151,0.5116279069767442,0.09953860519727718,0.8943661971830986,0.557161629434954,0.5138427464008859
Race/ethnicity,Non-Hispanic Black,675,0.7617377549907277,0.13,0.9269662921348315,0.36699029126213595,0.7085137085137085,0.165,0.8135838171826575,True,0.8595505617977528,0.5087378640776699,0.5858585858585859,0.18981012420866275,0.8089887640449438,0.5883495145631068,0.5137085137085137
Race/ethnicity,Non-Hispanic Asian,140,0.6314066672409337,0.13,0.46808510638297873,0.7004048582995951,0.32653061224489793,0.065,0.8224092529932225,True,0.8297872340425532,0.291497975708502,0.7278911564625851,0.09414326654123571,0.6382978723404256,0.5101214574898786,0.5136054421768708
Race/ethnicity,Other or multiracial,145,0.8112373737373737,0.13,0.9090909090909091,0.4791666666666667,0.572289156626506,0.125,0.8044027326050922,True,0.9090909090909091,0.4583333333333333,0.5903614457831325,0.14516538809641452,0.8636363636363636,0.5416666666666666,0.5120481927710844
Income group,Below poverty (<1.00),558,0.7493355142097731,0.13,0.8972602739726028,0.32587064676616917,0.7335766423357665,0.175,0.8078090121521725,True,0.8287671232876712,0.5024875621890548,0.5857664233576643,0.20916712269531376,0.7876712328767124,0.5845771144278606,0.5145985401459854
Income group,Near poverty (1.00–1.99),533,0.749326911571138,0.13,0.8540145985401459,0.45901639344262296,0.6096,0.15,0.8030078184764164,True,0.8321167883211679,0.5389344262295082,0.5424,0.161762805842272,0.8102189781021898,0.569672131147541,0.5136
Income group,Middle income (2.00–3.99),371,0.7819741532976827,0.13,0.7840909090909091,0.6058823529411764,0.451505016722408,0.095,0.8002899943736511,True,0.8636363636363636,0.4647058823529412,0.5836120401337793,0.11491311839745151,0.8068181818181818,0.5372549019607843,0.5133779264214047
Income group,Higher income (4.00+),188,0.7324675324675325,0.13,0.38095238095238093,0.8404040404040404,0.17690875232774675,0.045,0.8231159469385307,True,0.9285714285714286,0.35555555555555557,0.6666666666666666,0.06308050836134128,0.8333333333333334,0.5131313131313131,0.5139664804469274
Income group,Income not reported,286,0.7596297481860862,0.13,0.8873239436619719,0.4431818181818182,0.6268656716417911,0.12,0.811296768137501,True,0.9014084507042254,0.4015151515151515,0.6626865671641791,0.16203164188074148,0.8309859154929577,0.571969696969697,0.5134328358208955
