Dimension,Group,Participants,Cavity cases,Prevalence,PR-AUC,PR-AUC skill,ROC-AUC,Recall,Specificity,Precision,NPV,False-negative rate,False-positive rate,Share flagged,Brier score,Brier skill,Mean predicted probability,Calibration gap,True negatives,False positives,False negatives,True positives
Age group,1–11,658,88,0.1337386018237082,0.3139721824593317,0.20805911589164955,0.7759469696969699,0.7159090909090909,0.6491228070175439,0.23954372623574144,0.9367088607594937,0.2840909090909091,0.3508771929824561,0.39969604863221886,0.10328766469379952,0.10845613125027476,0.13325048431331205,-0.00048811751039615214,370,200,25,63
Age group,12–17,294,30,0.10204081632653061,0.3006568264553921,0.22118601127986848,0.6928030303030303,0.6333333333333333,0.6893939393939394,0.18811881188118812,0.9430051813471503,0.36666666666666664,0.3106060606060606,0.3435374149659864,0.08511028532559016,0.07113729515117284,0.1254141999727998,0.023373383646269175,182,82,11,19
Age group,18–34,474,111,0.23417721518987342,0.5132234305329251,0.36437439689423273,0.7398927853473308,0.8648648648648649,0.39944903581267216,0.3057324840764331,0.90625,0.13513513513513514,0.6005509641873278,0.6624472573839663,0.1509882235403056,0.1580813016617848,0.23230294080267527,-0.0018742743871981438,145,218,15,96
Age group,35–49,369,99,0.2682926829268293,0.5504059930114686,0.3855548571156738,0.7908716797605687,0.9191919191919192,0.3888888888888889,0.35546875,0.9292035398230089,0.08080808080808081,0.6111111111111112,0.6937669376693767,0.15478813436537783,0.2115186246418178,0.2633931727375215,-0.0048995101893077875,105,165,8,91
Age group,50–64,449,103,0.22939866369710468,0.45184472276277243,0.28866555063723937,0.7330097087378642,0.8155339805825242,0.4797687861271676,0.3181818181818182,0.8972972972972973,0.18446601941747573,0.5202312138728323,0.5879732739420935,0.1567106150941183,0.11350197223218639,0.20011756507723416,-0.02928109861987052,166,180,19,84
Age group,65+,399,53,0.13283208020050125,0.3787959914928446,0.2836404641781647,0.8172374304722434,0.8113207547169812,0.661849710982659,0.26875,0.9581589958158996,0.18867924528301888,0.33815028901734107,0.40100250626566414,0.09655057443876508,0.16179801498386737,0.14633777548068663,0.013505695280185387,229,117,10,43
Sex,Female,1342,230,0.17138599105812222,0.4387248179075795,0.3226337280863055,0.7865538004379105,0.808695652173913,0.591726618705036,0.290625,0.9373219373219374,0.19130434782608696,0.40827338129496404,0.47690014903129657,0.11826782116811689,0.16720328322561595,0.16990086632533477,-0.0014851247327874462,658,454,44,186
Sex,Male,1301,254,0.19523443504996157,0.46173569321401026,0.33115390341110534,0.7660826959667291,0.8267716535433071,0.5148042024832856,0.2924791086350975,0.9245283018867925,0.1732283464566929,0.48519579751671443,0.5518831667947732,0.13208476261636157,0.15932735716890323,0.19376546093670166,-0.0014689741132599132,539,508,44,210
Race/ethnicity,Mexican American,349,56,0.16045845272206305,0.3374246823947165,0.21078912681145412,0.7116345685031692,0.7678571428571429,0.5085324232081911,0.22994652406417113,0.9197530864197531,0.23214285714285715,0.49146757679180886,0.5358166189111748,0.12438593934348349,0.07664969539397659,0.18731867238731903,0.02686021966525598,149,144,13,43
Race/ethnicity,Other Hispanic,238,39,0.1638655462184874,0.308042694415741,0.1724329712107857,0.6886354851178972,0.717948717948718,0.5175879396984925,0.22580645161290322,0.9035087719298246,0.28205128205128205,0.4824120603015075,0.5210084033613446,0.13084581911556148,0.04501603169928303,0.17854118708778316,0.014675640869295764,103,96,11,28
