Model,Fold,Threshold used,Held-out recall,Held-out precision
Logistic Regression,1,0.125,0.8294573643410853,0.2686192468619247
Logistic Regression,2,0.125,0.8247422680412371,0.2660016625103907
Logistic Regression,3,0.12,0.8475452196382429,0.26031746031746034
Logistic Regression,4,0.125,0.7984496124031008,0.26208651399491095
Logistic Regression,5,0.125,0.8268733850129198,0.26533996683250416
Random Forest,1,0.13,0.8397932816537468,0.2858399296394019
Random Forest,2,0.13,0.8092783505154639,0.27399650959860383
Random Forest,3,0.125,0.875968992248062,0.2803970223325062
Random Forest,4,0.13,0.8268733850129198,0.2751504729148753
Random Forest,5,0.135,0.7829457364341085,0.279520295202952
Gradient Boosting,1,0.13,0.8062015503875969,0.28969359331476324
Gradient Boosting,2,0.125,0.8402061855670103,0.28596491228070176
Gradient Boosting,3,0.12,0.875968992248062,0.28802039082412917
Gradient Boosting,4,0.13,0.7958656330749354,0.2817932296431839
Gradient Boosting,5,0.13,0.7984496124031008,0.2871747211895911
Neural Network,1,0.11,0.8604651162790697,0.25734157650695516
Neural Network,2,0.12,0.7628865979381443,0.2787193973634652
Neural Network,3,0.11,0.8837209302325582,0.2571428571428571
Neural Network,4,0.12,0.7803617571059431,0.2674933569530558
Neural Network,5,0.115,0.8372093023255814,0.2647058823529412
