Model,Threshold type,Threshold,Recall,Recall lower 95%,Precision,F1,Balanced accuracy,Accuracy,Share flagged
Logistic Regression,Default,0.5,0.11828512396694214,0.10464992986233503,0.5932642487046632,0.19724375538329025,0.5500527055684642,0.82368520620507,0.03651153991676125
Logistic Regression,F1 (secondary),0.235,0.556301652892562,0.5340811346000238,0.36189516129032256,0.4385179153094462,0.6682040918469294,0.7391222096102913,0.2814982973893303
Logistic Regression,Recall-floor (primary),0.125,0.8228305785123967,0.8051884266198239,0.2656328164082041,0.4016135131728224,0.6564361322390608,0.5509837306091563,0.5672531214528944
Random Forest,Default,0.5,0.13894628099173553,0.1242523751795626,0.5899122807017544,0.2249163879598662,0.5586463688423244,0.8246311010215664,0.043132803632236094
Random Forest,F1 (secondary),0.225,0.6002066115702479,0.5782084405587684,0.3643775478206334,0.45346341463414636,0.682745732834684,0.7350548618993568,0.30164585698070373
Random Forest,Recall-floor (primary),0.13,0.8259297520661157,0.8083987222805284,0.2789115646258503,0.4170035206676229,0.6736179561627476,0.577090427544457,0.5422814982973894
Gradient Boosting,Default,0.5,0.16322314049586778,0.14743052667316442,0.5766423357664233,0.25442834138486314,0.5681794257365861,0.8248202799848657,0.05183503594400303
Gradient Boosting,F1 (secondary),0.205,0.6342975206611571,0.6125972935030265,0.3617083946980854,0.4607015569311574,0.6916855829336355,0.7280552402572834,0.3211312902005297
Gradient Boosting,Recall-floor (primary),0.13,0.818698347107438,0.8009110000130679,0.2897093767135807,0.42797353854461995,0.6843607529886426,0.5992243662504729,0.5174990541051835
Neural Network,Default,0.5,0.128099173553719,0.11394534385891908,0.5990338164251208,0.21106382978723404,0.5544386557902916,0.8246311010215664,0.03916004540295119
Neural Network,F1 (secondary),0.24,0.5485537190082644,0.5263122620242848,0.37942122186495175,0.44857444561774024,0.6737094671928769,0.7530268634127885,0.26475595913734395
Neural Network,Recall-floor (primary),0.115,0.8264462809917356,0.8089339602412657,0.26424442609413706,0.4004505068201727,0.6552912275732183,0.5468217934165721,0.5727393113885736
