Repeat,Fold,Random Forest,Gradient Boosting,Random Forest minus Gradient Boosting
1,1,0.44013314843562623,0.452785198965464,-0.012652050529837755
1,2,0.42580363159077356,0.4180888547503341,0.0077147768404394745
1,3,0.4835402523016301,0.4972320471626247,-0.013691794860994588
1,4,0.3912987223021353,0.3790314218795865,0.01226730042254881
1,5,0.41020627695939027,0.40369815584087543,0.006508121118514842
2,1,0.4241658969397779,0.44353533755520536,-0.019369440615427447
2,2,0.44910596405960124,0.43145741419985717,0.017648549859744067
2,3,0.42796641665667284,0.43512183913540303,-0.007155422478730189
2,4,0.4289529910907119,0.42043912974006,0.008513861350651908
2,5,0.4278648820045411,0.42086571505467335,0.006999166949867741
3,1,0.38434212007614316,0.37677591138642896,0.007566208689714193
3,2,0.4272594991411201,0.4232567209898336,0.0040027781512865235
3,3,0.447005088141352,0.4500236204984819,-0.0030185323571298994
3,4,0.4322425590923427,0.43787842738851923,-0.005635868296176516
3,5,0.4303815622903022,0.4239949778953423,0.006386584394959927
